Category ,Question No,Question_criteria,Question,Pop Up,Act,Keywords,How To avoid Penalty,Penalty Applicable,Max Penalty (in lakhs INR),penalty Keywords,Compulsory Keywords,Reason,Industry best practice,Certification,f
About The company,1,0,Are you a registered entity?,Are you a registered entity?,,"(1, Yes), (2, No)","Register your company as a Private Limited, Limited Liability Partnership or Sole Proprietorship ",,0,2,1,,,,"(2, Company Incorporation Document)"
About the company,2,0,What all business activities are carried out by your company?,You can select multiple options. The company must select appropriate activities based on their operations to avoid penalties.,,"(1, borrow, raise or take up money), (2, act as agents for any Government or local authority or any other person), (3, manage and sell any property which is in the possession of your company), (4, inquire, construct, maintain and alter buildings for the company purpose), (5, None of the Above)","The business activities you want to pursue do not fall under the ambit of the Banking Regulation Act, 1949. You can either change your business activities or contact us for further guidance regarding your existing activities.",,100,5,"1,2",,"(1, Establish Credit Risk Assessment) , (2, Establish a Performance Metrics) , (3, Use standardized methods for accurate property valuation) ","(2, ISO 37001 - Anti-Bribery Management System",
Legal Compliance,3,0,Have you implemented KYC (Know Your Customer) procedures as per the PMLA (Prevention of Money Laundering Act)?,"If you have not done that and need assistance, please select No.",,"(1, Yes), (2, No)","KYC procedures are one of the most important parts of protecting your business from penalties. If you don't know how the RBI wants you to follow KYC procedures, contact us.",,5,2,1,,,,"(2, KYC documents, AML policy, transaction monitoring reports)"
Legal Compliance,4,0,Have you established a framework for customer due diligence (CDD) as per RBI guidelines?,"Customer Due Diligence (CDD), as per the Reserve Bank of India (RBI) guidelines, refers to the process of identifying and verifying the identity of customers and beneficial owners using reliable and independent sources of identification. If you need assistance with this, please select NO",,"(1, Yes), (2, No)","To establish a Customer Due Diligence (CDD) framework in accordance with RBI guidelines, develop a comprehensive CDD policy approved by your Board that outlines procedures for customer identification and verification. Conduct risk assessments to categorize customers and apply enhanced due diligence for high-risk profiles. Implement ongoing monitoring of transactions, maintain accurate records, and provide staff training on compliance and recognizing suspicious activities. Regularly review the framework to adapt to regulatory changes and ensure effective risk management. If you need assistance with this, kindly contact us.",,1,2,1,,Implement CDD Policy,,"(2, KYC documents, CDD policy, customer risk assessment records)"
Legal Compliance,5,0,"Do you follow RBI prescribed procedure for changing the structure and operations of your payment system? 
","Here is the RBI procedure:
You must obtain approval from the RBI before changing the structure or operation of the payment system. After the RBI grants approval, you are required to provide a 30-day notice of these changes to the users.
If you need any guidance, just select NO",,"(1, Yes), (2, No)","You must obtain approval from the RBI before changing the structure or operation of the payment system. After the RBI grants approval, you are required to provide a 30-day notice of these changes to users. If you need any guidance, kindly contact us.",,100,2,1,,,,"(2, Notice for structural change of Payment System)"
Legal Compliance,6,0,List the duties you comply with towards your users.,"Choose all the duties you’re complying with. If you’re hearing about these for the first time, no worries—we’ve got you covered. Just select None of the above, and we will guide you.",,"(1, Transparency), (2, Consent Management), (3, Grievance Redressal Mechanism), (4, Regular Audits and Monitoring), (5, Data Retention and Deletion Policies), (6, Training and Awareness), (7, None)","There are some duties you have toward your users, and it seems you may not be aware of them. Here is the list of duties:

Be transparent.
Obtain consent before collecting data.
Have a grievance redressal mechanism.
Conduct regular audits and establish a data retention policy.
If you need assistance in fulfilling any of these duties, kindly contact us!",,100,7,,,,ISO/IEC 27001,Consent Forms
Legal Compliance,7,1.1,Do you have a Board of Directors?,You need to have atleast two Board of directors if you are registered as Private Limited,,"(1, Yes), (2, No)",Appoint two Indian resident board of directors and you will be all set.,,1,2,1,,,,
Legal Compliance,8,1.1,How many days does your director stay in India?,You need to count the days out of whole year,,"(1, Less than 182 days), (2, 182 days), (3, More than 182 days)",It's a matter of residency. Try to find a board director who lives in India for atleast 182 days,,5,1,,,,,
Legal Compliance,9,0,What is the size of the company? ,"Select only the full time employes. Different thresholds trigger different compliance requirements, such as employee benefits, statutory audits, and regulatory filings.",,"(1, Five to Nine), (2, 10 or more), (3, One Employee), (4, 0 Employees)",,,0,,,,,,
Legal Compliance,10,"(9.1 , 9.2 , 9.3)",Have you registered your establishment with the local authorities within the specified time frame i.e 30 or 60 days of commencing operations?,Herein local authorities will refer to authorities at the place of registration,,"(1, Yes), (2, No)",Timely registration within the first 30-60 days of business operations is mandatorey. Need assisstance with this? Contact us,,0.1,2,1,,Registration with local authority is mandatory to legally operate the registered business.,,
Legal Compliance,11,"(9.1 , 9.2)",Are you complying with employee welfare fund contributions?,"The Employee Welfare Fund in India is established under various state-specific Labour Welfare Fund Acts, aimed at enhancing the welfare of workers through contributions from employers, employees, and sometimes the government. These funds are utilized for providing essential services such as housing, medical care, education, and recreational facilities to workers and their families. ",,"(1, Yes), (2, No)",Set up a employee welfare fund,,0.1,2,1,,Contribution to welfare employee fund is mandatory to ensure welfare for employees.,,
Legal Compliance,12,"(9.1 , 9.2 , 9.3)",Are you ensuring that employees do not work more than the maximum permissible working hours?,Employees should be not be working for more than 48 hours per week.,,"(1, Yes), (2, No)",Ensures employee well-being by regulating working hours.,,0.1,2,1,,Limit work hours to 48 per week.,,
Legal Compliance,13,"(9.1 , 9.2 , 9.3)","Are you providing the mandated leave entitlements (e.g., casual leave, earned leave) as per the employee  duration of service?",Leave entitlements are legally required for employee well-being.,,"(1, Yes), (2, No)",Ensure employees get adequate leave annually,,0.1,2,1,,,,
Legal Compliance,14,"(9.1 , 9.2 , 9.3)","Are you maintaining proper records of employee attendance, wages, etc.?",Proper record can be physical or digital,,"(1, Yes), (2, No)",Make a verified and authorized record of employees,,0.1,2,1,,,,
Legal Compliance,15,0,Do you have women employees in your organization?,Do you have women employees in your organization?,,"(1, Yes), (2, No)",,,0,,,,,,
Legal Compliance,16,"15.1 , 15.2 ",Do you have an internal complaints committee as per the POSH act?,It should be an official committee to be setup by the company ,,"(1, Yes), (2, No)",Setup and an internal complaints committee as per the POSH act,,0.1,2,1,,,,
Legal Compliance,17,15.1,"Are you ensuring compliance with provisions for the protection of women workers e.g., night shifts, maternity leave?","Are you ensuring compliance with provisions for the protection of women workers e.g., night shifts, maternity leave?",,"(1, Yes), (2, No)",Take necessary steps to protect women of your workplace like establish provisions for maternity leave etc.,,0.1,2,1,,,,
Data Handling and Cyber Security,18,0,"Have you disclosed any information or documents of your users to a third party without their consent?
","Here, disclosure refers to the sharing of personal or sensitive information without user consent, except in situations where it is required by law. If you do not engage in this practice, just select NO",,"(1, Yes), (2, No)","If you want to disclose any personal or sensitive information of your users to anyone, you need to obtain consent. The fastest way to get consent is to have a Consent Notice. You can have your users agree to your consent notice using a toast message, pop-up alert, or during the sign-up process. If you need assistance in drafting and implementing one, contact us.",,5,1,2,,,,
Data Handling and Cyber Security,19,0,Do you conduct risk assessments to ensure the safety of your digital payment products and services?,"A risk assessment for digital payment products should identify potential risks such as fraud, operational failures, and compliance issues, while evaluating technology vulnerabilities, third-party dependencies, and data security measures. It should also consider customer experience and establish ongoing monitoring to adapt to emerging threats.",,"(1, Yes), (2, No)","A risk assessment for digital payment products should identify potential risks such as fraud, operational failures, and compliance issues while evaluating technology vulnerabilities, third-party dependencies, and data security measures. It should also consider customer experience and establish ongoing monitoring to adapt to emerging threats. If you need assistance in conducting a risk assessment, kindly contact us.",,100,2,1,,,"PCI DSS, ISO 9001:2015, ISO/IEC 27001, ISO/IEC 27701","Risk Assessment Framework, Incident Response Plan, NDAs."
Data Handling and Cyber Security,20,0,Do you have a mechanism for reporting security breach incidents?,Mechanism here refers to how do you notify the people that needs to be notified,,"(1, Yes), (2, No)","To establish a mechanism for reporting security breach incidents as a fintech startup founder, you need to implement a clear incident response plan that outlines procedures for identifying, documenting, and reporting breaches to relevant stakeholders, including regulatory authorities and affected customers. Ensure this plan includes designated roles for team members, timelines for reporting incidents, and communication strategies to maintain transparency and trust with users. Additionally, regularly train staff on recognizing potential breaches and executing the response plan effectively. Need help? Contact us!",,20000,2,1,,"(2, Establish a security breach mechanism through NIST)",,"(1, Cybersecurity policy documentation, Incident response plan, Records of cybersecurity training for employees, Audit reports on cybersecurity measures)"
Data Handling and Cyber Security,21,0,What measures do you take to protect the data?,"You can select multiple keywords—the more, the merrier!",,"(1, encryption), (2, hashing), (3, firewalls), (4, random number generation), (5, digital certificates), (6, any other measure), (7, none of these)","Cybersecurity is becoming crucial; try implementing best cybersecurity practices. This will not only help you avoid penalties but will also improve your goodwill. If you need to discuss a few best practices, contact us.",,100,7,,,TRUSTe Certification,ISO/IEC 27701,"Incident Response Plan, NDAs"
Data Handling and Cyber Security,22,0,How do you ensure data protection on mobile and internet banking applications?,"You can select multiple keywords—the more, the merrier!",,"(1, Multi-Factor Authentication (MFA)), (2, End-to-End Encryption), (3, Anti-Tampering Mechanisms),   (4, Transaction Monitoring), (5, Secure APIs), (6, SSL/TLS Implementation), (7, None)",Mobile and internet payment apps require special security measures to prevent data breaches and protect users. Need help? Contact us.,,100,7,,,,,
Data Handling and Cyber Security,23,0,How do you ensure protection against cyber attacks and fraud?,"You can select multiple keywords—the more, the merrier!",,"(1, Adopt multi-factor authentication (MFA) for electronic payments to enhance security), (2, Establish mechanisms to identify fraudsters), (3, Report fraud to the appropriate authorities), (4, Implement fraud detection systems in payment processes), (5, Reduce fraud risks in online transactions), (6, Conduct regular risk assessments and audits), (7, None of the above)","To ensure protection against cyberattacks and fraud, as a fintech startup, you should implement multi-layered security measures, including strong encryption for sensitive data and multi-factor authentication for user access. Regularly conduct vulnerability assessments and penetration testing to identify weaknesses while fostering a culture of cybersecurity awareness among employees through ongoing training on recognizing threats like phishing and social engineering. Need assistance? Contact us.",,150,7,,,"Multi-Factor Authentication (MFA), Fraud Detection Systems","Cybersecurity Frameworks, Cyber Essentials, AICPA SOC, TRUSTe","Risk Assessment Framework, Incident Response Plan"
Data Handling and Cyber Security,24,0,Do you store payment data and customer card credentials within your database?,,,"(1, Yes), (2, No)",,,0,,,,,,
Data Handling and Cyber Security,25,24.1,How do you protect the payment data and customer card credentials within your database?,"You can select multiple keywords—the more, the merrier!",,"(1, Data Storage Location is India), 
(2, End-to-End Transaction Details are present), 
(3, Deletion of Data from Foreign Systems within 24 hours), 
(4, In Cross-Border Transactions only a copy is stored abroad ), 
(5, System Audit Report is there with the company), 
(6, Regular Compliance Reporting to RBI), (7, None of the above)","To protect payment data and customer card credentials within your database, the RBI mandates that all payment-related data must be stored exclusively in India, including end-to-end transaction details and sensitive customer information. Additionally, fintech companies must implement robust security measures such as encryption for data at rest and in transit, regular backups, and access controls to safeguard against unauthorized access and breaches. Need help? Kindly contact us!",,100,7,,,"NIST Cybersecurity Framework, AICPA SOC 2","ISO/IEC 27001, ISO/IEC 27701","DPAs, DRP, Incident Response Plan, Consent Forms"
Data Handling and Cyber Security,26,0,Are your employees aware that tampering with computer source code or computer networks is an offence?,"Intentionally tampering with computer networks that are required to be maintained by law is an offense. Awareness will not be implied here. You need to explicitly inform them or, better yet, conduct an awareness session regarding best practices and offenses. Need help? Please select NO",,"(1, Yes), (2, No)","Intentionally tampering with computer networks that are required to be maintained by law is an offense. Awareness cannot be implied in this case. You need to explicitly inform individuals or, better yet, conduct an awareness session on best practices and offenses. Need help? Kindly contact us.",,2,2,1,,Conduct awareness session for your employees regarding tampering and handling public networks,"ISO/IEC 27701, NIST Cybersecurity Framework",Employee Training Manual
Data Handling and Cyber Security,27,0,Do you host third-party information?,"It refers to data sourced from external providers, such as payment processing details from services like Stripe and financial data from aggregators like Plaid. This data enhances the app's functionality by enabling secure transactions and user account integrations.",,"(1, Yes), (2, No)",,,0,,,,,,
Data Handling and Cyber Security,28,27.1,How do you protect/process third-party information?,"It refers to data sourced from external providers, such as payment processing details from services like Stripe and financial data from aggregators like Plaid. This data enhances the app's functionality by enabling secure transactions and user account integrations.",,"(1, Ensure due diligence when hosting third-party information), (2, Do not initiate the transmission of data), (3, Do not select the receiver of the transmission), (4, Do not select or modify the information in the transmission), (5, No security for third-party information and transmission)","You need to ensure due diligence before hosting third-party information. You can achieve this in several ways, such as:

Not initiating the transmission of data.
Not selecting the recipient of the transmission.
Not modifying the information.
Need further assistance? Kindly contact us.",,1,5,,,,"ISO/IEC 27001, ISO/IEC 27701","Third-Party Agreements, Policy"
Data Handling and Cyber Security,29,0,Do you have a Privacy Policy?,"If you're at the idea stage and don't have a privacy policy, just select NO and contact us to learn more about privacy policies.",,"(1, Yes), (2, No)",You need to have a privacy policy in place. We can help you create one! Contact us.,,5,2,1,,,,"(2, Privacy Policy)"
Data Handling and Cyber Security,30,29.1,What are the components of your privacy policy?,You can select multiple keywords.,,"(1, types of data collected), (2, purpose and use of data), (3, sharing and disclosure policies), (4, data retention and deletion policies), (5, user consent mechanisms), (6, contact details for grievances), (7, none of these)","Your existing privacy policy is missing important components that should be included. Kindly revise it, or connect with us for assistance with the revision.",,5,7,"1,2,3",,,,
Data Handling and Cyber Security,31,0,Do you transfer personal data outside India?,Do you transfer personal data outside India?,,"(1, Yes), (2, No)",,,0,,,,,,
Data Handling and Cyber Security,32,31.1,What measures do you take to protect the personal data while transferring ?,"Protecting the data is what matters, select all your measures",,"(1, Obtain consent of the information provider), (2, Ensure the destination country has equivalent data protection laws as India), (3, None of these)","Obtaining consent before transferring data abroad is mandatory, and the best way to secure it is through a consent mechanism. Need help building a consent mechanism? Kindly contact us!",,1,3,1,,,"ISO/IEC 27701, ISO/IEC 27001","DTA, Consent Forms"
Data Handling and Cyber Security,33,0,Do you collect data of users?,"This covers every type of data, whether personal, generic, or otherwise.",,"(1, Yes), (2, No)",,,0,,,,,,
Data Handling and Cyber Security,34,33.1,How do you fulfill your obligations while processing the personal data of individuals?,Obligation here refers to your duties,,"(1, Consent-Based Processing), (2, Data Minimization),  (3, Data Retention Limits), (4, Security Measures), (5, Data Subject Rights), (6, Breach Notification), (7, Without consent/none of these)","To fulfill your obligations when processing individuals' personal data, ensure compliance with applicable data protection laws by obtaining explicit consent from users before collecting their data. Need more information? Contact us.",,25000,7,1,,,,"Privacy Policy, Breach Notification Policy"
Data Handling and Cyber Security,35,0,Do you process personal data of minors or person with a disability?,Minors means below 18,,"(1, Yes), (2, No)",,,0,,,,,,
Data Handling and Cyber Security,36,35.1,When do you process the personal data of a child or person with a disability?,Child means below 18,,"(1, Before obtaining the consent of their parent or legal guardian), (2, After obtaining the consent of their parent or legal guardian)",Processing the personal data of a child or a person with a disability requires special attention. Consent from their legal guardian must be obtained before collecting their data. Need help? Contact us.,,20000,1,2,,,,"(2, Consent Notice)"
Industry Specific,37,1.1,Have you obtained a license from the Reserve Bank of India before carrying out banking business?,"If you are at the prototype stage and have not yet entered the market, are you planning to apply or have you applied for the license so that you obtain it before launching and entering the market? If yes, select YES",,"(1, Yes), (2, No)",Obtain a License from RBI before starting any business in the fintech industry,,20,2,1,,,,"(2, RBI Banking License)"
Industry Specific,38,"1.1, 37.1",Have you applied for a license under the guidelines for operating a digital payment system?,"If you are at the prototype stage and have not yet entered the market, are you planning to apply or have you applied for the license so that you obtain it before launching and entering the market? If yes, select YES",,"(1, Yes), (2, No)",Obtain a License from RBI before starting any business in the digital payment industry,,20,2,1,,,PCI DSS,
Industry Specific,39,38.1,Do you have a policy for digital payment services?,"A policy for digital payment services, as per the Master Directions on Digital Payment Security Controls, 2021, must be board-approved and include security requirements, infrastructure availability, dispute resolution mechanisms, and periodic reviews. It should also document transaction mechanics, implement secure communication protocols, and ensure robust performance measures to protect customer data.",,"(1, Yes), (2, No)","A policy for digital payment services, as per the Master Directions on Digital Payment Security Controls, 2021, must be board-approved and include security requirements, infrastructure availability, dispute resolution mechanisms, and periodic reviews. It should also document transaction mechanics, implement secure communication protocols, and ensure robust performance measures to protect customer data. Need assistance with this? Contact us!",,100,2,1,,,"(1, ISO 9001:2015, ISO/IEC 27001, and ISO/IEC 27701)","(2, Digital Payment Services Policy)"
Industry Specific,40,39.1,What are the components of this policy?,Select all the components you have. You can select multiple components.,,"(1, Protect customer data confidentiality and integrity), (2, ensure infrastructure availability), (3, build secure, reliable, and consistent payment products) , (4, efficient dispute resolution and grievance handling), (5, regular reviews and quick corrective actions), (6, conduct thorough User Assessment Tests before launch with approvals), (7, None of the above)","You say you have a policy for digital payment services, but the components of your policy are not comprehensive enough, and we fear this may attract penalties. We believe it needs to be reviewed. Kindly contact us with your policy, and we will review it.",,100,7,,,,,"(9, Digital Payment 
Services Policy)"
Misc,41,0,"Have you ensured that all software, APIs,  images, and content used in your business are properly licensed?",Prevents infringement of copyrighted materials used in company operations.,,"(1, Yes), (2, No)","Every software that you use should be properly licensed. If you need any help, Kindly contact us.",,2,2,1,,,,